average,rrData
75.9,781
75.5,804
74.4,835
72.3,890
71.6,929
69.0,953
67.0,960
66.1,937
66.1,906
67.4,851
68.3,851
68.6,867
67.5,921
65.8,968
64.1,1000
63.0,992
62.2,992
61.8,984
61.4,992
62.2,937
63.2,914
64.3,898
64.9,906
65.8,882
66.8,867
66.6,906
65.8,937
65.0,953
64.200005,960
64.6,914
64.6,929
64.4,937
64.6,921
64.9,914
66.0,875
66.8,875
67.3,875
67.5,882
67.3,898
67.700005,875
68.0,875
67.8,890
67.3,906
66.6,921
66.0,929
65.9,914
66.5,882
66.8,890
66.6,906
65.700005,945
64.9,953
64.3,953
64.5,921
65.200005,898
65.9,890
66.4,890
67.6,851
68.3,859
68.4,875
67.6,914
66.5,937
65.700005,937
65.9,906
66.200005,898
65.9,921
65.8,914
65.6,921
66.700005,867
68.3,835
69.4,835
69.200005,875
69.0,875
68.9,875
69.200005,859
69.4,859
69.9,843
71.1,812
72.0,742
73.6,703
75.6,695
78.5,703
79.700005,726
79.1,773
78.4,781
77.700005,789
77.9,765
77.3,789
77.4,773
79.0,726
79.8,687
81.1,664
82.8,648
84.8,625
85.6,687
88.1,640
88.8,781
89.3,781
89.6,859
89.8,906
90.0,953
90.1,906
87.8,937
84.5,945
81.3,890
77.8,859
75.200005,867
73.0,882
71.3,890
70.3,882
68.6,929
66.6,968
65.700005,945
64.4,976
64.1,945
64.9,898
65.1,914
64.8,937
65.4,898
66.0,890
65.700005,921
64.9,953
63.9,976
62.7,1000
61.5,1023
60.3,1046
61.0,960
62.600002,906
64.200005,882
65.5,875
67.200005,843
66.9,906
65.700005,953
63.7,1015
62.9,984
61.8,1015
60.9,1023
61.4,960
61.9,953
62.4,945
62.9,937
64.3,890
64.4,929
63.2,992
61.5,1039
61.5,976
61.2,992
61.3,976
62.4,921
63.2,921
63.600002,929
63.3,960
63.8,921
63.7,945
