timestamp,x,y,z
3702815,-0.6101916,9.588383,2.2708697
3702824,-0.57908374,9.786994,2.0866158
3702834,-0.55036885,9.7415285,2.0363648
3702843,-0.4977249,9.657777,2.1225095
3702852,-0.33979294,9.509417,2.0483294
3702862,-0.55036885,9.377807,2.060294
3702871,-0.4737958,9.349092,2.2924058
3702881,-0.5527618,9.514202,2.3546216
3702890,-0.59583414,9.609919,2.2756555
3702899,-0.51926106,9.578811,2.2924058
3702909,-0.5647263,9.475916,2.9648132
3702918,-0.5934412,9.911426,2.318728
3702927,-0.5934412,9.820495,1.9837208
3702937,-0.39722276,9.614705,1.8257889
3702946,-0.5336185,9.614705,2.266084
3702957,-0.45225963,9.19116,2.5293038
3702966,-0.54558307,9.43763,2.4599094
3702976,-0.6197632,9.652991,2.1009734
3702985,-0.5886554,9.648206,2.0028641
3702995,-0.55036885,9.554882,2.0914016
3703004,-0.571905,9.521381,2.239762
3703014,-0.5336185,9.5405245,2.184725
3703023,-0.4977249,9.629062,2.0028641
3703032,-0.46183127,9.70085,2.000471
3703041,-0.45943835,9.657777,2.1249025
3703050,-0.5264398,9.605133,2.1895108
3703060,-0.5838696,9.686492,2.165582
3703069,-0.571905,9.755886,2.1009734
3703078,-0.50968945,9.631455,2.0172215
3703088,-0.52165395,9.475916,2.134474
3703097,-0.5025107,9.547704,2.1536174
3703107,-0.63412064,9.497452,2.452731
3703116,-0.6197632,9.595561,2.1679747
3703125,-0.5647263,9.45438,2.0890088
3703135,-0.5288327,9.466345,2.1392598
3703144,-0.5934412,9.487881,2.2565124
3703153,-0.55754757,9.490273,2.1512244
3703163,-0.49293905,9.633848,2.0961876
3703172,-0.46183127,9.669742,2.163189
3703182,-0.5527618,9.609919,2.316335
3703191,-0.6006199,9.629062,2.2756555
3703200,-0.6101916,9.617098,2.2062612
3703210,-0.5599405,9.552489,2.234976
3703219,-0.60301286,9.530953,2.342657
3703228,-0.5360114,9.638634,2.160796
3703238,-0.5072965,9.557275,1.9430413
3703247,-0.4402951,9.504631,1.8736471
3703257,-0.5049036,9.504631,1.9717562
3703266,-0.5001178,9.399343,2.1584032
3703275,-0.45225963,9.392164,2.2325833
3703285,-0.5144752,9.6912775,2.2589052
3703294,-0.5527618,9.803744,2.1416528
3703303,-0.5527618,9.765458,2.2062612
3703313,-0.60779864,9.688885,2.112938
3703322,-0.5551547,9.60274,2.160796
3703333,-0.6221561,9.564454,2.1823323
3703342,-0.5240469,9.56924,2.0746512
