Service,X,Y,Z
LinearAcc,-5.611370,-2.622627,-2.589127, 
AngularVelocity,112.070000,-220.779999,-59.150002, 
MagneticField,-78.158073,-38.273792,-16.634830, 
LinearAcc,-7.339049,-2.364193,2.962420, 
AngularVelocity,144.759995,-448.700012,4.550000, 
MagneticField,-94.337357,-47.652431,-33.609417, 
LinearAcc,-4.714029,-6.738429,7.362978, 
AngularVelocity,115.570000,-410.130005,-82.110001, 
MagneticField,-110.838631,-58.217983,-64.810822, 
LinearAcc,-6.058843,-1.167739,12.081793, 
AngularVelocity,51.450001,-215.529999,12.460000, 
MagneticField,-96.045471,-55.452000,-86.148415, 
LinearAcc,-1.404637,0.703515,9.712814, 
AngularVelocity,54.389999,-133.350006,71.330002, 
MagneticField,-71.968727,-51.400219,-90.217598, 
LinearAcc,-1.469246,-0.143574,10.303863, 
AngularVelocity,17.430000,-79.519997,39.480000, 
MagneticField,-59.800072,-44.166859,-87.334656, 
LinearAcc,-0.157932,0.445081,10.279933, 
AngularVelocity,11.200000,-52.150002,-0.210000, 
MagneticField,-52.543526,-41.156372,-86.569237, 
LinearAcc,0.050251,-0.081359,10.251218, 
AngularVelocity,7.840000,-13.020000,-4.130000, 
MagneticField,-45.854820,-38.789665,-81.568367, 
LinearAcc,-0.882983,-0.112467,11.363920, 
AngularVelocity,7.210000,-68.250000,-65.099998, 
MagneticField,-46.867615,-42.368378,-84.859505, 
LinearAcc,0.071787,-0.720265,8.533111, 
AngularVelocity,-5.460000,-28.070000,-27.299999, 
MagneticField,-43.746792,-41.572971,-84.599228, 
LinearAcc,-1.902362,-0.844697,9.832459, 
AngularVelocity,-6.720000,-5.530000,-16.379999, 
MagneticField,-41.254150,-40.393684,-83.425575, 
LinearAcc,-1.359172,-0.966735,9.547704, 
AngularVelocity,5.390000,-2.870000,1.470000, 
MagneticField,-55.599838,-47.778324,-85.760010, 
LinearAcc,-1.033736,-0.538404,10.050214, 
AngularVelocity,15.120000,-2.660000,-4.340000, 
MagneticField,-54.775574,-49.240063,-85.463905, 
LinearAcc,3.429037,-25.577795,78.401237, 
AngularVelocity,-111.090004,117.949997,11.200000, 
MagneticField,-54.908684,-46.549030,-84.004684, 
LinearAcc,-0.148360,-1.507532,9.655384, 
AngularVelocity,-31.990000,39.900002,4.900000, 
MagneticField,-49.037979,-49.678509,-84.598755, 
LinearAcc,-0.083752,-1.603248,9.724778, 
AngularVelocity,3.920000,-0.980000,0.350000, 
MagneticField,-41.864273,-54.326511,-82.947403, 
LinearAcc,-0.059823,-1.749216,9.822887, 
AngularVelocity,0.980000,-1.470000,0.350000, 
MagneticField,-42.874352,-51.225185,-81.830132, 
LinearAcc,-0.043072,-1.823396,9.815709, 
AngularVelocity,0.070000,-1.680000,0.350000, 
MagneticField,-42.966396,-49.845650,-78.781250, 
LinearAcc,-0.052644,-1.749216,9.791780, 
AngularVelocity,0.000000,-1.820000,0.210000, 
MagneticField,-44.235218,-51.519768,-81.592865, 
LinearAcc,-0.047858,-1.758787,9.803744, 
AngularVelocity,0.000000,-1.890000,0.280000, 
MagneticField,-45.055206,-50.336910,-82.919731, 
LinearAcc,-0.110074,-1.773145,9.803744, 
AngularVelocity,-0.140000,-1.750000,0.350000, 
MagneticField,-45.518944,-49.717407,-82.105881, 
LinearAcc,-0.045465,-1.765966,9.822887, 
AngularVelocity,-0.210000,-1.680000,0.350000, 
MagneticField,-41.249359,-54.153622,-81.939575, 
LinearAcc,-0.071787,-1.739644,9.832459, 
AngularVelocity,-0.070000,-1.820000,0.350000, 
MagneticField,-43.577030,-50.297417,-80.819847, 
LinearAcc,-0.045465,-1.761180,9.758279, 
AngularVelocity,-0.070000,-1.820000,0.350000, 
MagneticField,-43.213970,-53.018826,-81.585068, 
LinearAcc,-0.069394,-1.734858,9.810924, 
AngularVelocity,-0.140000,-1.820000,0.280000, 
MagneticField,-43.761627,-51.857418,-80.954964, 
LinearAcc,-0.071787,-1.763573,9.813316, 
MagneticField,-42.403828,-54.483540,-81.709953, 
LinearAcc,-0.098109,-1.746823,9.818102, 
